ID,Phase,Session,Accelerator Name,What It Is,Type,Category,Built By,When Needed,Needs Client Input?,Approval Required?,Approved By,Status,Notes
A01,Pre-Workshop,Client Artifacts,Plant Performance Report (90 days),"OEE / downtime / scrap rate / on-time delivery for last 90 days. Becomes the Day 1 performance baseline.",Report,Client Provides,Client,7 business days before Day 1,Yes,No,,To Request,Anonymized version acceptable. Plant Manager or Ops Head provides.
A02,Pre-Workshop,Client Artifacts,System Landscape Document,"Names and versions of ERP / MES / CMMS / Historian / middleware in use.",Document,Client Provides,Client IT Lead,7 business days before Day 1,Yes,No,,To Request,Version numbers required where known.
A03,Pre-Workshop,Client Artifacts,Operational Org Chart,"Plant Manager / department leads / decision-making layer. Not the full company org chart.",Org Chart,Client Provides,Workshop Coordinator,7 business days before Day 1,Yes,No,,To Request,Decision-making layer only.
A04,Pre-Workshop,Client Artifacts,Sample Plant Manager Reports or Dashboards,"Shift reports / daily OEE summaries / MRP exception reports / downtime logs the Plant Manager uses today.",Sample,Client Provides,Plant Manager,7 business days before Day 1,Yes,No,,To Request,Any format available.
A05,Pre-Workshop,Client Artifacts,Data Dictionary or Catalogue,"Existing data documentation - even partial or outdated versions are useful.",Document,Client Provides,IT or OT Lead,7 business days before Day 1,Yes,No,,To Request,Optional. Provide if it exists.
A06,Pre-Workshop,Client Artifacts,MRP Exception Report or Downtime Log Sample,"Last 30 days of MRP exception messages or downtime records.",Report,Client Provides,Finance Lead or Planning Lead,7 business days before Day 1,Yes,No,,To Request,Anonymized if required by security policy.
A07,Pre-Workshop,Client Artifacts,In-Flight Analytics or AI Initiative Documentation,"Any existing AI / analytics / digital plant initiative docs in progress.",Document,Client Provides,Workshop Coordinator,7 business days before Day 1,Yes,No,,To Request,Prevents IBM from proposing scope already in flight.
A08,Pre-Workshop,Pre-Work Templates,Baseline Metrics Snapshot Template,"Fillable template for current OEE / downtime rate / scrap rate / on-time delivery and any other tracked KPIs.",Template,IBM Pre-Builds,IBM Workshop Lead,10 business days before Day 1,Yes - client fills,Yes,IBM Workshop Lead,To Build,Sent to Plant Manager or Process Engineer. Used in Day 1 S2 and Day 4 S1.
A09,Pre-Workshop,Pre-Work Templates,Plant Vocabulary Register Template,"Fillable list of abbreviations / local codes / terms used by shift or line.",Template,IBM Pre-Builds,IBM Workshop Lead,10 business days before Day 1,Yes - client fills,Yes,IBM Workshop Lead,To Build,Sent to Plant Manager or Production Supervisor. Used throughout Days 4 and 5.
A10,Pre-Workshop,Pre-Work Templates,System Inventory Template,"Fillable table: system name / vendor / version / deployment model / primary IT contact / integration docs link.",Template,IBM Pre-Builds,IBM Workshop Lead,10 business days before Day 1,Yes - client fills,Yes,IBM Workshop Lead,To Build,Sent to IT or OT Lead. Used in Day 3 S3.
A11,Pre-Workshop,Pre-Work Templates,Stakeholder Availability Matrix,"Named availability per session per day for all required participants.",Matrix,IBM Pre-Builds,IBM Workshop Lead,10 business days before Day 1,Yes - client fills,No,,To Build,Sent to Workshop Coordinator. Flags scheduling conflicts before Day 1.
A12,Pre-Workshop,Facilitator Prep,Participant Briefing Pack,"Session schedule / what each role prepares before arriving / IBM team introductions.",Pack,IBM Pre-Builds,IBM Workshop Lead,3 business days before Day 1,No,Yes,IBM Account Lead,To Build,Sent to all confirmed attendees. Includes process flow reference for Plant Manager.
A13,Pre-Workshop,Facilitator Prep,Workshop Charter Draft,"Scope / constraints / timeline / decision-making authority / check-in schedule for executive review.",Document,IBM Pre-Builds,IBM Workshop Lead,3 business days before Day 1,No,Yes,IBM Account Lead,To Build,Sent to executive team before Day 1. Reflects IBM understanding from pre-work review.
A14,Pre-Workshop,Facilitator Prep,Pre-Populated Day 1 Decision Inventory,"Initial list of 8 to 10 candidate decisions derived from client performance report and MRP exception sample.",Register,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 1,No,No,,To Build,Team extends and corrects in session rather than building from blank.
A15,Day 1,Session 1,Executive Briefing Card,"One-page: what the workshop produces / what it does not / what IBM needs from the leadership team.",Card,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 1 S1,No,Yes,IBM Workshop Lead,To Build,Presented at start of executive session.
A16,Day 1,Session 1,Strategic Priority Capture Template,"Pre-populated with common manufacturing priorities to anchor executive discussion and reduce time to consensus.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 1 S1,No,No,,To Build,
A17,Day 1,Session 1,Workshop Charter Template,"Scope / constraints / timeline / decision-making authority / executive check-in schedule. Finalized and signed in session.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 1 S1,No,Yes,Executive Sponsor,To Build,Executive signs in session.
A18,Day 1,Session 2,Manufacturing Process Reference Flow,"Pre-drawn order-to-dispatch flow skeleton that the team annotates in session.",Reference,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 1 S2,No,No,,To Build,Plant Manager reviews before Day 1 as part of briefing pack.
A19,Day 1,Session 2,MES Exception Reference,"Common alarm types / downtime reason code structures / scrap and rework logging conventions.",Reference,IBM Pre-Builds,IBM Technical Lead,Ready before Day 1 S2,No,No,,To Build,Helps facilitate exception pattern discussion without relying on client recall.
A20,Day 1,Session 2,ERP Exception Reference,"MRP exception categories / inventory mismatch types / cost variance patterns. SAP-specific version if applicable.",Reference,IBM Pre-Builds,IBM Technical Lead,Ready before Day 1 S2,No,No,,To Build,
A21,Day 1,Session 2,Role Profile Template,"Role / five critical operational questions / current answer time per question / decision types owned.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 1 S2,No,No,,To Build,Used to capture 3 to 5 role profiles during session.
A22,Day 1,Session 2,Scenario Cards - Generic,"Machine breakdown / delayed order / material shortage / capacity crunch. Used to probe exception handling.",Cards,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 1 S2,No,No,,To Build,Generic scenarios - not plant-specific. Plant-specific scenario cards built before Day 5.
A23,Day 1,Session 3,Decision Prioritization Matrix,"Impact / frequency / urgency / data dependency scoring with pre-scored calibration examples from comparable sites.",Matrix,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 1 S3,No,No,,To Build,Pre-scored examples anchor the team so discussion starts calibrated.
A24,Day 1,Session 3,Benchmark Reference - Manufacturing Decisions,"High-impact decisions from comparable manufacturing sites with typical priority scores.",Reference,IBM Pre-Builds,IBM Technical Lead,Ready before Day 1 S3,No,No,,To Build,
A25,Day 1,Session 3,Executive Debrief One-Page Template,"Shortlist / scoring rationale / Day 2 scope proposal structured for a 30-minute executive standing brief.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 1 S3,No,No,,To Build,IBM completes template during Session 3 before executives return.
A26,Day 2,Session 1,Use Case Scoring Matrix,"Impact / frequency / data access / time-to-value scoring pre-populated with Day 1 shortlist and benchmark calibration scores.",Matrix,IBM Builds In-Session,IBM Workshop Lead,Before Day 2 S1 (overnight Day 1),No,No,,To Template,IBM populates with Day 1 shortlist during Day 1 to Day 2 break.
A27,Day 2,Session 1,Data Dependency Quick-Check Column,"A column in the scoring matrix flagging data as confirmed available / likely available / or unknown for each candidate.",Column Add-On,IBM Builds In-Session,IBM Technical Lead,Before Day 2 S1 (overnight Day 1),No,No,,To Template,Pulled from Day 1 ERP and MES exception notes.
A28,Day 2,Session 2,Candidate Summary Cards,"One page per shortlisted use case: scoring summary / known blockers / data dependency status.",Cards,IBM Builds In-Session,IBM Workshop Lead,Before Day 2 S2 (morning Day 2),No,No,,To Template,IBM assembles from Session 1 output during morning break.
A29,Day 2,Session 2,Use Case Definition Canvas,"Persona / questions answered / dimensions / time windows / outcome format. Pre-structured for team to fill blanks.",Canvas,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 2 S2,No,No,,To Build,
A30,Day 2,Session 2,Golden Sample Capture Template,"Structured prompt guiding team to articulate a complete example agent response: trigger / data used / recommendation / action enabled.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 2 S2,No,Yes,Plant Manager + Operations Head,To Build,Output reviewed and agreed by room in session. Used in Day 4 S2 for trace validation.
A31,Day 2,Session 2,Success Criteria Template,"30-day / 90-day / 180-day improvement targets over the Day 1 baseline metrics.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 2 S2,No,No,,To Build,
A32,Day 2,Session 3,Output Format Reference,"Examples of alert / dashboard widget / shift report entry / chat interface with guidance on which suits which user context.",Reference,IBM Pre-Builds,IBM Technical Lead,Ready before Day 2 S3,No,No,,To Build,
A33,Day 2,Session 3,Recommendation Output Schema Template,"Named fields / their order / visible vs expandable structure for every agent recommendation. The contract between business design and build team.",Template,IBM Pre-Builds,IBM Technical Lead,Ready before Day 2 S3,No,Yes,IBM Workshop Lead + Client IT Lead,To Build,Agreed in session. Becomes input to Day 4 S2 decision logic design.
A34,Day 2,Session 3,Trust Signal Checklist,"Elements that build operator trust: source transparency / confidence indicator / override option / explainability level / comparison to baseline.",Checklist,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 2 S3,No,No,,To Build,
A35,Day 2,Session 3,Change Impact Assessment Template,"Decision type / current approach / changed approach / affected roles / resistance likelihood / mitigation approach.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 2 S3,No,No,,To Build,
A36,Day 2,Session 3,Adoption Champion Role Definition,"Responsibilities / time commitment per week / escalation path / feedback loop to IBM during build and rollout.",Document,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 2 S3,No,Yes,Client Operations Head,To Build,Client nominates champion in session. IBM provides the role definition.
A37,Day 3,Session 1,Domain Map Template,"Pre-listed manufacturing domains with blank owner / steward / and system fields. Team confirms and adjusts.",Template,IBM Pre-Builds,IBM Technical Lead,Ready before Day 3 S1,No,No,,To Build,
A38,Day 3,Session 1,MES-to-ERP Data Flow Reference,"Which data should travel between systems / common lag and loss points / typical master data misalignment patterns.",Reference,IBM Pre-Builds,IBM Technical Lead,Ready before Day 3 S1,No,No,,To Build,
A39,Day 3,Session 1,Cross-Domain Join Reference,"Workorder-to-resource / downtime-to-cost / attendance-to-shift join patterns with bridging entity named.",Reference,IBM Pre-Builds,IBM Technical Lead,Ready before Day 3 S1,No,No,,To Build,
A40,Day 3,Session 1,Master Data Alignment Checklist,"BOMs / routings / UOMs / reason code taxonomy: yes/no assessment sent as pre-work to IT/OT to focus discussion on known problems.",Checklist,IBM Pre-Builds,IBM Technical Lead,5 business days before Day 3,Yes - IT/OT fills,No,,To Build,IT or OT Lead completes before Day 3 S1.
A41,Day 3,Session 2,Entity Sketch Template,"Entity name / domain / shared or domain-specific / key attributes / access method / history depth / known quality issues.",Template,IBM Pre-Builds,IBM Technical Lead,Ready before Day 3 S2,No,No,,To Build,Pre-listed with common manufacturing entities. Team confirms and extends.
A42,Day 3,Session 2,Data Access and Quality Scorecard,"Per-entity rating: ready / accessible with preparation / or not accessible. Pre-filled by IT/OT before the session.",Scorecard,IBM Pre-Builds,IBM Technical Lead,Ready before Day 3 S2,Yes - IT/OT fills,No,,To Build,IT or OT Lead fills from Day 1 system notes before Day 3.
A43,Day 3,Session 2,Gap Priority Matrix,"Gap type / blocking / manageable / deferrable classification / resolution approach options / owner / timeline fields.",Matrix,IBM Pre-Builds,IBM Technical Lead,Ready before Day 3 S2,No,No,,To Build,
A44,Day 3,Session 2,Proxy Data Reference,"Common proxy approaches for manufacturing data gaps. Example: using shift calendar when attendance records are incomplete.",Reference,IBM Pre-Builds,IBM Technical Lead,Ready before Day 3 S2,No,No,,To Build,Used when a blocking gap can be bridged with a derived or substitute value.
A45,Day 3,Session 3,Connectivity Test Checklist,"Step-by-step verification: connection string / auth method / test query / result for each in-scope system.",Checklist,IBM Pre-Builds,IBM Technical Lead,Ready before Day 3 S3,No,No,,To Build,Run during session where possible. OT network access must be confirmed before Day 3.
A46,Day 3,Session 3,Data Volume Estimation Guide,"Reference table of typical record volumes for common manufacturing systems as calibration for client estimates.",Guide,IBM Pre-Builds,IBM Technical Lead,Ready before Day 3 S3,No,No,,To Build,
A47,Day 3,Session 3,Data Sensitivity Classification Guide,"Decision tree: data type to sensitivity category to constraint triggered. Covers GDPR / data residency / union / internal security.",Guide,IBM Pre-Builds,IBM Technical Lead,Ready before Day 3 S3,No,No,,To Build,
A48,Day 3,Session 3,Data Contract Template,"Data set / system / format / freshness SLA / sensitivity class / client owner / confirmed access date / IBM acceptance criteria.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 3 S3,No,Yes,IBM Workshop Lead + Client IT Lead,To Build,Signed by both parties at end of Day 3 S3. Updated after Day 4 with column-level specifics.
A49,Day 4,Session 1,Metric Catalogue Template,"Pre-populated with OEE / availability / performance / quality / downtime / cost per unit / throughput / scrap rate.",Template,IBM Pre-Builds,IBM Technical Lead,Ready before Day 4 S1,No,No,,To Build,Team confirms which apply / adds plant-specific metrics / fills in baseline values from pre-work.
A50,Day 4,Session 1,Calculation Logic Reference,"Plain-language derivation formulas for OEE decomposition / MTBF / MTTR / scrap rate / cost per unit.",Reference,IBM Pre-Builds,IBM Technical Lead,Ready before Day 4 S1,No,No,,To Build,Validates how the client calculates each metric vs industry-standard formula.
A51,Day 4,Session 1,Metric Decomposition Diagram,"Visual metric tree showing compound metrics breaking into sub-metrics and the source fields feeding each node.",Reference,IBM Pre-Builds,IBM Technical Lead,Ready before Day 4 S1,No,No,,To Build,
A52,Day 4,Session 2,Decision Logic Canvas,"Trigger / inputs / rules / thresholds / output recommendation. Pre-structured with use case name and golden sample inserted.",Canvas,IBM Pre-Builds,IBM Technical Lead,Ready before Day 4 S2,No,No,,To Build,Built from Day 2 golden sample and Day 2 use case definition output.
A53,Day 4,Session 2,MES-to-ERP Correlation Reference,"Common pairs of shop-floor events and the ERP symptoms they cause. Pre-populated for team to validate and extend.",Reference,IBM Pre-Builds,IBM Technical Lead,Ready before Day 4 S2,No,No,,To Build,
A54,Day 4,Session 2,Alert Priority Framework Template,"Severity tiers / business impact categories / alert ranking rules when multiple exceptions occur simultaneously.",Template,IBM Pre-Builds,IBM Technical Lead,Ready before Day 4 S2,No,No,,To Build,
A55,Day 4,Session 2,Concept and Filter Rule Definition Template,"Name / kind (time window or operational filter) / exact filter logic in plain language / source columns it applies to.",Template,IBM Pre-Builds,IBM Technical Lead,Ready before Day 4 S2,No,No,,To Build,
A56,Day 4,Session 2,HITL and HOTL Classification Matrix,"Every recommendation type listed. Team marks each as human-in-the-loop or human-on-the-loop with rationale.",Matrix,IBM Pre-Builds,IBM Technical Lead,Ready before Day 4 S2,No,Yes,Plant Manager + Operations Head,To Build,Signed by Plant Manager and Operations Head in session.
A57,Day 4,Session 2,Golden Sample Trace Template,"Structured walkthrough applying agreed decision logic step by step to the Day 2 golden sample to verify it produces expected output.",Template,IBM Pre-Builds,IBM Technical Lead,Ready before Day 4 S2,No,No,,To Build,Built from Day 2 golden sample output.
A58,Day 4,Session 3,Decision Authority Matrix Template,"Recommendation type / HITL or HOTL / normal operating range / out-of-range approver / emergency approver.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 4 S3,No,Yes,Plant Manager,To Build,
A59,Day 4,Session 3,ERP Feedback Loop Design Guide,"Maps agent recommendation types to ERP records they may trigger with the approval chain for each write-back.",Guide,IBM Pre-Builds,IBM Technical Lead,Ready before Day 4 S3,No,No,,To Build,
A60,Day 4,Session 3,Fallback Language Library,"Example agent messages for missing data / stale data / conflicting signals. Team selects and adapts in session.",Library,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 4 S3,No,Yes,IBM Workshop Lead + Plant Manager,To Build,Client approves the exact fallback language before build starts.
A61,Day 4,Session 3,Monitoring Trigger Reference,"Common signals indicating agent degradation in manufacturing AI deployments with suggested thresholds and response actions.",Reference,IBM Pre-Builds,IBM Technical Lead,Ready before Day 4 S3,No,No,,To Build,
A62,Day 4,Session 3,Executive Summary Brief Template,"Pre-structured one-pager: selected use case / design decisions / implementation direction / client commitments / ask for endorsement.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 4 S3,No,Yes,IBM Account Lead,To Build,Drafted during Day 4 S3. Refined Day 5 morning. Presented in Day 5 S3.
A63,Day 5,Session 1,Scenario Cards - Plant-Specific,"One card per scenario with realistic plant data values built from client downtime log and MRP exception report.",Cards,IBM Builds In-Session,IBM Technical Lead,Before Day 5 S1 (overnight Day 4),No,No,,To Template,Different from Day 1 generic scenario cards. Uses actual plant history provided in pre-work.
A64,Day 5,Session 1,Decision Output Capture Template,"Expected output / logic output / gap rating (pass or partial or fail) per scenario. Structured for rapid in-session completion.",Template,IBM Pre-Builds,IBM Technical Lead,Ready before Day 5 S1,No,No,,To Build,
A65,Day 5,Session 1,Metric Traceability Sheet,"Each metric linked to its source columns / concepts / and time window filter rules for rapid root cause diagnosis during walkthrough.",Sheet,IBM Builds In-Session,IBM Technical Lead,Before Day 5 S1 (overnight Day 4),No,No,,To Template,Built from Day 4 metric catalogue output.
A66,Day 5,Session 1,MES-to-ERP Correlation Test Cases,"Known historical exception pairs for testing the accuracy of causal link identification.",Test Cases,IBM Builds In-Session,IBM Technical Lead,Before Day 5 S1 (overnight Day 4),No,No,,To Template,Built from Day 4 correlation map and client plant history provided in pre-work.
A67,Day 5,Session 1,Gap Resolution Matrix,"Gap type / resolution approach / owner / resolution date. Updated in real time during the walkthrough session.",Matrix,IBM Pre-Builds,IBM Technical Lead,Ready before Day 5 S1,No,No,,To Build,
A68,Day 5,Session 1,Confidence Rating Framework,"Criteria for high / medium / conditional ratings with minimum scenario pass rate thresholds for each classification.",Framework,IBM Pre-Builds,IBM Technical Lead,Ready before Day 5 S1,No,No,,To Build,
A69,Day 5,Session 2,Production Monitoring Dashboard Template,"Pre-listed signals: recommendation acceptance rate / override rate / data freshness status / operator satisfaction with blank threshold fields.",Template,IBM Pre-Builds,IBM Technical Lead,Ready before Day 5 S2,No,No,,To Build,
A70,Day 5,Session 2,Override Feedback Capture Design Guide,"Three common feedback loop patterns: inline override capture / daily summary log / manual review queue with recommendation for plant context.",Guide,IBM Pre-Builds,IBM Technical Lead,Ready before Day 5 S2,No,No,,To Build,
A71,Day 5,Session 2,Model Review Trigger Reference,"Override rate thresholds and data quality triggers from comparable manufacturing AI deployments with suggested response actions.",Reference,IBM Pre-Builds,IBM Technical Lead,Ready before Day 5 S2,No,No,,To Build,
A72,Day 5,Session 2,Agent Governance Role Description,"Responsibilities / time commitment per week / escalation path / authority boundaries for the client-side governance owner.",Document,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 5 S2,No,Yes,Client Operations Head,To Build,Client nominates governance owner in session.
A73,Day 5,Session 2,Knowledge Base Governance Template,"Document name / owner / review frequency / approved by / process for adding or removing content from agent context.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 5 S2,No,Yes,IBM Workshop Lead + Client IT Lead,To Build,
A74,Day 5,Session 3,Deliverable Sign-Off Register,"Every workshop output listed with accountable stakeholder / confirmation status / and date. Pre-populated from all days.",Register,IBM Builds In-Session,IBM Workshop Lead,Before Day 5 S3 (overnight Day 4),No,Yes,All Domain Stewards + Executive Sponsor,To Template,Pre-populated with all named outputs from Days 1 to 5. Stakeholders sign in session.
A75,Day 5,Session 3,Implementation Planning Template,"Phase 1 scope / build sequence / client dependency list / success metrics / risk log.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 5 S3,No,No,,To Build,
A76,Day 5,Session 3,Dependency Map Template,"IBM deliverables vs client deliverables side by side with agreed dates from the Day 3 data contract.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 5 S3,No,No,,To Build,
A77,Day 5,Session 3,Change Management Plan Template,"Training schedule / rollout sequence / communication approach / adoption champion responsibilities.",Template,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 5 S3,No,No,,To Build,
A78,Day 5,Session 3,Open Issues Register,"Issue description / owner / resolution date / build-phase impact for each open item.",Register,IBM Pre-Builds,IBM Workshop Lead,Ready before Day 5 S3,No,No,,To Build,
